region_name,region_risk_level,recorded_at,year,month,day_of_year,is_rainy_season,rainfall_mm,temperature_c,humidity_pct,wind_speed_ms,soil_moisture_pct,risk_level
Nyabarongo Basin (Muhanga),moderate,2015-01-01,2015,1,1,0,4.76,19.6,78.68,1.3,78.0,low
Nyabarongo Basin (Muhanga),moderate,2015-01-02,2015,1,2,0,0.3,19.69,78.79,1.46,77.0,low
Nyabarongo Basin (Muhanga),moderate,2015-01-03,2015,1,3,0,0.23,19.97,71.09,1.4,76.0,low
Nyabarongo Basin (Muhanga),moderate,2015-01-04,2015,1,4,0,0.61,20.23,73.06,1.15,75.0,low
Nyabarongo Basin (Muhanga),moderate,2015-01-05,2015,1,5,0,4.49,19.36,77.91,0.67,75.0,low
Nyabarongo Basin (Muhanga),moderate,2015-01-06,2015,1,6,0,8.01,19.36,79.17,0.9,76.0,low
Nyabarongo Basin (Muhanga),moderate,2015-01-07,2015,1,7,0,0.21,19.72,72.86,0.96,75.0,low
Nyabarongo Basin (Muhanga),moderate,2015-01-08,2015,1,8,0,0.11,19.86,72.08,1.09,74.0,low
Nyabarongo Basin (Muhanga),moderate,2015-01-09,2015,1,9,0,0.12,20.19,72.09,1.08,74.0,low
Nyabarongo Basin (Muhanga),moderate,2015-01-10,2015,1,10,0,1.29,19.85,73.33,0.84,73.0,low
Nyabarongo Basin (Muhanga),moderate,2015-01-11,2015,1,11,0,2.62,19.3,78.65,0.59,73.0,low
Nyabarongo Basin (Muhanga),moderate,2015-01-12,2015,1,12,0,0.75,19.38,75.95,1.2,73.0,low
Nyabarongo Basin (Muhanga),moderate,2015-01-13,2015,1,13,0,0.35,19.75,73.65,1.38,72.0,low
Nyabarongo Basin (Muhanga),moderate,2015-01-14,2015,1,14,0,0.26,20.1,71.89,1.61,72.0,low
Nyabarongo Basin (Muhanga),moderate,2015-01-15,2015,1,15,0,0.1,20.17,70.56,1.28,71.0,low
Nyabarongo Basin (Muhanga),moderate,2015-01-16,2015,1,16,0,0.17,20.47,69.78,0.83,71.0,low
Nyabarongo Basin (Muhanga),moderate,2015-01-17,2015,1,17,0,0.04,20.88,67.5,1.06,71.0,low
Nyabarongo Basin (Muhanga),moderate,2015-01-18,2015,1,18,0,0.41,20.53,68.46,0.65,70.0,low
Nyabarongo Basin (Muhanga),moderate,2015-01-19,2015,1,19,0,0.21,20.25,69.74,0.77,70.0,low
Nyabarongo Basin (Muhanga),moderate,2015-01-20,2015,1,20,0,0.1,19.5,73.92,0.85,70.0,low
Nyabarongo Basin (Muhanga),moderate,2015-01-21,2015,1,21,0,1.39,19.81,74.77,1.38,70.0,low
Nyabarongo Basin (Muhanga),moderate,2015-01-22,2015,1,22,0,1.46,19.44,79.02,1.32,70.0,low
Nyabarongo Basin (Muhanga),moderate,2015-01-23,2015,1,23,0,1.95,20.28,73.74,1.21,70.0,low
Nyabarongo Basin (Muhanga),moderate,2015-01-24,2015,1,24,0,1.87,20.04,76.03,1.1,70.0,low
Nyabarongo Basin (Muhanga),moderate,2015-01-25,2015,1,25,0,0.67,19.72,76.13,1.32,69.0,low
Nyabarongo Basin (Muhanga),moderate,2015-01-26,2015,1,26,0,2.31,19.57,75.92,1.53,69.0,low
Nyabarongo Basin (Muhanga),moderate,2015-01-27,2015,1,27,0,0.46,20.75,67.09,1.29,69.0,low
Nyabarongo Basin (Muhanga),moderate,2015-01-28,2015,1,28,0,2.71,21.32,67.98,1.29,69.0,low
Nyabarongo Basin (Muhanga),moderate,2015-01-29,2015,1,29,0,5.62,21.55,68.24,1.2,69.0,low
Nyabarongo Basin (Muhanga),moderate,2015-01-30,2015,1,30,0,2.81,21.31,69.63,1.35,69.0,low
Nyabarongo Basin (Muhanga),moderate,2015-01-31,2015,1,31,0,0.13,20.89,67.09,1.57,69.0,low
Nyabarongo Basin (Muhanga),moderate,2015-02-01,2015,2,32,0,0.09,21.21,66.59,1.34,68.0,low
Nyabarongo Basin (Muhanga),moderate,2015-02-02,2015,2,33,0,0.11,22.29,62.93,0.96,68.0,low
Nyabarongo Basin (Muhanga),moderate,2015-02-03,2015,2,34,0,0.2,21.76,69.05,1.12,67.0,low
Nyabarongo Basin (Muhanga),moderate,2015-02-04,2015,2,35,0,0.2,21.64,66.77,1.59,67.0,low
Nyabarongo Basin (Muhanga),moderate,2015-02-05,2015,2,36,0,0.25,21.7,68.6,1.23,67.0,low
Nyabarongo Basin (Muhanga),moderate,2015-02-06,2015,2,37,0,0.13,21.79,68.46,1.28,67.0,low
Nyabarongo Basin (Muhanga),moderate,2015-02-07,2015,2,38,0,0.26,20.54,74.64,1.28,66.0,low
Nyabarongo Basin (Muhanga),moderate,2015-02-08,2015,2,39,0,0.81,19.91,78.06,1.1,66.0,low
Nyabarongo Basin (Muhanga),moderate,2015-02-09,2015,2,40,0,0.14,21.08,70.55,1.11,66.0,low
Nyabarongo Basin (Muhanga),moderate,2015-02-10,2015,2,41,0,0.72,20.53,70.02,1.13,66.0,low
Nyabarongo Basin (Muhanga),moderate,2015-02-11,2015,2,42,0,0.99,20.97,67.29,1.17,66.0,low
